name,salary,site,years,school,tags,updateTime,companyName,jobDemand,companyInfo,address,url
Python开发工程师,15-25K,北京,3-5年,本科,"[""Linux"", ""数据库"", ""Python""]",更新于：2020-11-06,新瑞鹏宠物医疗集团,"[""岗位职责："", ""1参与公司产品后台服务的设计、开发、优化等研发工作，保证产品的质量和开发进度；"", ""2.研究新兴技术，对产品进行持续优化"", ""【岗位要求】"", ""1.统招本科及以上学历"", ""2.1-3年以上python开发经验。或其他语言经验丰富，基础扎实，有意转python开发者亦可。"", ""3.熟悉pythonweb框架，django、tornado、flask等任意一种"", ""4熟悉mysql等关系数据库的使用。"", ""5.熟悉linux，git的使用。"", ""6.有较强的工作责任心和良好的沟通协调能力，能够快速定位问题并解决问题""]",新瑞鹏宠物医疗集团有限公司是一家以宠物医疗服务为主营的大型综合性企业集团，员工总数16000多名。集团业务涵盖：宠物医疗保健、实验室诊断、宠物美容造型、宠物商品销售、宠物供应链、宠物医疗器械、远程互联网诊断、医疗信息化平台建设、兽医继续教育、宠物美容学校、宠物文化传播等，覆盖了宠物产业链的主要环节。,北京市朝阳区北京光华路五号院世纪财富中心1号楼7层,/job_detail/c2e3ca074472dc5a0XZ529-7E1M~.html
python开发（非外派，软通总部办公）,12-20K,北京,3-5年,本科,"[""Python""]",更新于：2020-11-07,软通动力,"[""华为大数据项目，AI领域，非外派，软通总部办公"", ""1、3年以上python开发经验"", ""2、python多线程，多进程，会flask框架；"", ""3、熟悉Linux指令，git管理；"", ""4、熟悉mySQL、redis、elasticsearch，http、websocket、webhook"", ""5、有大数据和机器学习工作经验的优先考虑；"", ""2、学历要求（硬性条件）：第一学历全日制统招本科，学信网可查，理工类相关专业"", ""3、福利：入职即缴五险一金，绩效奖金，年终奖，餐补，交通补，周末加班双倍薪资，班车等等""]","软通动力信息技术（集团）有限公司：
软通动力信息技术（集团）有限公司（以下简称：软通动力）是中国领先的创新型软件及信息技术服务商，数字经济使能者。公司2005年成立于北京，立足中国，服务全球市场。经过16年发展，目前公司在全球36个城市设有90余个分支机构25个全球交付中心，员工总数60000+",北京市海淀区西北旺东路10号院东区16号楼西北旺东路10号院东区-16号楼,/job_detail/9cdac7a155d6bbe70nd_2tm_E1Q~.html
Python开发工程师,20-40K·16薪,上海,3-5年,本科,"[""Python"", ""全栈开发""]",更新于：2020-10-28,得物App,"[""职位描述："", ""1、负责公司智能管理信息化系统模块的功能规划、需求分析和用户体验；"", ""2、负责所属模块的前后端开发、调试与维护工作；"", ""3、具备OA系统、eHR系统、ERP系统相关开发经验；"", ""4、参与公司相关产品的架构优化，性能优化及其模块的技术实现。"", ""岗位要求："", ""1、计算机相关专业毕业；3年以上Python开发经验；"", ""2、良好的问题理解能力，能够理解以及处理复杂逻辑；"", ""3、良好的代码风格和开发习惯；"", ""4、熟悉主流前端框架，了解React、Vue、CSS等相关知识；"", ""5、熟悉常见的Web框架，包括Django,Tornado，Flask等；"", ""6、熟悉常见的存储方案，包括MySQL、MongoDB、Redis等；"", ""7、性格积极乐观，诚信，较好的沟通能力，文档整理能力；"", ""8、具备强烈的进取心、求知欲及团队合作精神。""]","得物App是由上海识装信息科技有限公司推出，目前国内领先的集正品运动潮流装备交易、球鞋潮牌真伪鉴别、互动图片社区于一体的综合性软件。
基于在运动及潮流装备真伪鉴别领域多年的积累与沉淀，得物App于2017年8月开创性的推出了""先鉴别，再发货""的购物流程，确保于平台购买的商品",上海杨浦区互联宝地C2,/job_detail/95afb893be6627443nN60ty4GVE~.html
Python开发工程师,20-25K·13薪,上海,5-10年,本科,"[""Python""]",更新于：2020-11-06,万历报关,"[""1、负责公司OCR模块接口的功能开发和代码维护，能独立完成子系统和功能模块开发，编写完整的接口文档；"", ""2、根据需求制定技术方案，项目计划以及开发,学习研究，并将之应用到工作当中"", ""3、根据产品需求，进行系统设计和编码,持续对系统架构进行改造和优化"", ""任职资格："", ""1.5年以上Python开发经验；"", ""2.熟悉Python编程语言，熟悉flaskdjangotornado其中至少一种Web开发框"", ""3.熟练使用Mysql，Redis、PostgreSQL等"", ""4.精通异步网络编程，多线程编程，HTTP协议，异步框架Async,集群与负载均衡,消息中间件等技术"", ""5.熟悉网页抓取原理及技术，能够总结分析不同网站，网页的结构特点及规律；"", ""6.熟悉常用Web服务器软件如ApacheNginx等；"", ""7.熟练使用Linux操作系统，具有基础服务维护能力"", ""8.有良好的逻辑思维能力和团队沟通能力，强大的自我驱动力和自学能力，能够承受工作压力，有强烈的责任心"", ""9.理解并能应用RESTFul规范,具备较强的编程能力和良好的编码风格、结构清晰，命名规范，逻辑性强，代码冗余率低""]","上海万历是1995年经海关总署批准成立的专业报关公司，成立至今已有近20年历史，经过不断努力经营，目前在规模、影响力、业务量等方面都已在同行业中名列前茅。万历现有员工近180人，在上海最主要的直接进口口岸都已设立了业务部门，能够全方位的为客户的进出口业务提供服务。
公司的主营业务是提供代理进",上海市浦东新区浦东外高桥科技大楼加枫路26号713,/job_detail/d24e6436b117dc4d3nZy2ti8EVA~.html
Python开发工程师,15-25K·13薪,上海,3-5年,本科,"[""后端开发"", ""Python"", ""MySQL"", ""Django"", ""软件工程师"", ""GIT"", ""SaaS""]",更新于：2020-11-06,云闪住,"[""后端开发，接口对接，团队合作能力强，能够加班，做五休二，但工作日加班多"", ""工作内容："", ""参与公司项目的设计和开发"", ""参与服务端性能的调优和迭代"", ""职位要求："", ""1.计算机或数学系专业本科及以上学历，3-5年工作经验，至少2年Python开发经验"", ""2.熟练使用Python进行开发，至少熟悉一种后端框架，Django或者Flask，有Django项目开发者优先"", ""3.了解Linux环境开发，熟练使用常用命令"", ""4.熟悉Mysql的使用，优化，及常用的非关系型数据库"", ""5.熟练使用异步，消息队列"", ""加分项："", ""1.有docker使用经验"", ""2.有运维，部署相关操作经验"", ""3.了解前端技术""]",[],上海松江区漕河泾·松江新兴产业园5号,/job_detail/c50d0f46587167f60Hdy2dy7FVs~.html
Python开发工程师,10-12K,北京,3-5年,本科,"[""Django"", ""Tornado"", ""全栈开发"", ""Flash开发"", ""MongoDB"", ""Redis"", ""MySQL""]",更新于：2020-11-06,智通博瑞,"[""岗位职责及要求："", ""1.全日制本科及以上学历，计算机相关专业，3年以上相关工作经验，使用Python开发过大型平台经验者优先；"", ""2.精通Python语言，熟悉Python多进程应用开发，熟练掌握至少一门PythonWeb开发框架（Tornado、Django、Flask等)；"", ""3.熟练使用mysql，redis,mongodb；"", ""4.拥有良好的代码习惯，结构清晰，命名规范，逻辑性强；"", ""5.有独立分析和解决问题的能力，团队精神、责任心强、很好的沟通能力，能够承受工作压力；"", ""6.熟悉Linux、分布式、微服务、高性能Web服务开发、有一定的系统架构设计能力者优先。""]","北京智通博瑞科技发展有限公司（以下简称“智通博瑞”）是北京科学学研究中心的下属公司，隶属于北京科学研究院。在北京市科学技术委员会、北京市科学技术研究院为响应北京市政府股权激励试点的背景下成立，是集咨询、研发、销售、运营、服务为一体的综合性公司。
公司自2009年成立以来，已",北京市海淀区甘家口21号楼商务楼5层5006室,/job_detail/72a91cc104bc600b33Jz3t24GVQ~.html
朝阳区-python开发,11-16K·13薪,北京,1-3年,大专,"[""多线程"", ""sklearn"", ""matplotlib"", ""Linux"", ""机器学习"", ""python""]",更新于：2020-11-07,博彦科技,"[""1.了解或希望从事深度学习、机器学习方向相关工作者优先；"", ""2.熟悉Python者优先，包括但不限于：sklearn，多线程，matplotlib等"", ""3.熟悉Linux系统和网络知识，扎实的基本功，熟悉设计模式；"", ""4.有良好的问题解决能力，难题公关经验，能主动推动项目的进展并达成项目目标；""]","博彦科技（深交所上市公司,股票代码002649）是亚太领先的全方位IT服务及行业解决方案提供商，具备全球范围内的交付能力。博彦科技创立于1995年，员工10000多人,是中国IT行业的先行者和领军企业，拥有完善、成熟的管理和开发流程，确保为客户提供高质量的服务。公司全球总部设在北京中关村，在上海",北京市朝阳区金辉大厦1,/job_detail/b87ac3130b05196b1nR63tW_FldV.html
Python开发工程师,20-30K,北京,5-10年,本科,"[""Python"", ""django""]",更新于：2020-11-07,FIT2CLOUD飞致云,"[""负责开源堡垒机Jumpserver(https://github.com/jumpserver/jumpserver/)的开发工作"", ""熟练掌握Python开发"", ""有丰富的Django开发经验"", ""熟悉LinuxShell编程"", ""熟悉jQuery"", ""熟悉Docker，Kubernetes等容器技术"", ""熟悉操作系统和网络知识"", ""有良好的数据结构和算法基础"", ""了解angular，阅读过开源代码，活跃于开源社区者优先""]","FIT2CLOUD飞致云创立于2014年，是多云时代技术领先的企业级软件提供商。
FIT2CLOUD以“FittoCloud”为使命，致力于帮助企业在多云时代更好地构建、运行、管理和保护其IT基础设施和应用，实现数字化转型的目标。
FIT2CLOUD的产",北京市朝阳区北京财富中心写字楼A座715,/job_detail/f9a15f97e522f3c31XN92tS8Flc~.html
python开发,12-19K,北京,3-5年,大专,"[""Linux"", ""网络编程"", ""网络安全"", ""系统运维""]",更新于：2020-11-06,武汉佰钧成技术,"[""(1)熟悉python语言。"", ""(2)5年以上的软件开发经验。"", ""(3)熟悉Linux平台，熟悉Linux操作系统运维和Linux系统管理，维护，使用。"", ""(4)熟悉数据库表结构设计和使用，有分布式系统及异步任务系统开发经验者优先。"", ""(5)在弹性计算、存储、数据库、网络、中间件、安全、操作系统、虚拟化、基础设施（数据中心／网络／服务器）等任一领域有一定理解。"", ""岗位要求说明"", ""1、熟练掌握python、java编程语言，数据库操作、git操作（至少3年以上开发经验）。"", ""2、熟练掌握微服务架构，熟悉容器编程。"", ""3、有大型互联网IT系统的项目开发、测试和生产环境维护经验。"", ""4、有软件工程意识，熟悉面向对象编程的思想。"", ""5、熟悉云平台网络技术，包括物理网络（交换机、网络协议）和虚拟网络，例如：OVS、VPC、Linux虚拟网络、LVS、Nginx等"", ""主要技术要点：python、mysql数据库、docker、git、云平台网络。""]",武汉佰钧成技术有限责任公司是中国中西部地区领先的服务外包供应商，我们面向欧美、日本及国内市场的制造业、金融、电信、能源、IT及政府和公共服务行业提供ITO、BPO服务。,北京市朝阳区金辉大厦A座,/job_detail/1c32e265cac0591233N52Nq4GVc~.html
Python开发工程师,15-25K,北京,3-5年,本科,"[""后端开发"", ""Python"", ""MySQL"", ""PostgreSQL"", ""Django"", ""Flask"", ""GIT"", ""大数据""]",更新于：2020-11-07,前景无忧,"[""-\\xa0岗位职责："", ""1.\\xa0参与后台服务的设计、开发、优化、维护等研发工作；"", ""2.\\xa0编写简洁、高效、清晰和可测试的代码，并通过单元测试、集成测试和Code\\xa0Review等保障代码质量；"", ""-\\xa0任职要求："", ""1.\\xa0统招本科及以上学历，计算机、电子通信等专业背景，基础理论扎实，三年及以上python开发经验，有后台服务开发的实际项目经验；"", ""2.\\xa0熟练掌握Flask、Django等Web框架，熟悉SQLAlchemy等ORM框架，及Pandas等数据处理框架；"", ""3.\\xa0熟练使用Mysql/PostgreSQL，熟悉Nosql数据库如Redis等，有hadoop经验更佳；"", ""4.\\xa0熟悉Linux、Git、Markdown等常用开发环境及协作形式，熟悉项目文档管理，有相关项目经验者优先；"", ""5.\\xa0有独立分析和解决问题的能力，有良好的团队合作精神和沟通能力。""]","北京前景无忧电子科技有限公司2009年4月成立于北京丰台科技园总部基地，为上市公司恒实科技（300513.SZ）旗下企业。是一家集研发、生产、系统集成、销售、服务为一体的高新技术企业。
公司拥有自主研发能力、自主知识产权。拥有遍布国内各区域，营销服务一体化的本地化服务体系和队伍。公司致力于为智能电网",北京市丰台区诺德中心2期5号楼11层,/job_detail/45103e56d089b0130HZy29W8EFM~.html
